,Unnamed: 0,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
84,84.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PUBLIC SERVICE WAGE ADJUSTMENT FOR MDAs (INCLUDING ARREARS OFPROMOTION AND SALARY INCREASES) & PAYMENT OF SEVERANCE BENEFITS,30200000000.0
85,85.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MILITARY OPERATIONS : LAFIYA DOLE & OTHER OPERATIONS OF THE ARMEDFORCES,25000000000.0
86,86.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTRIBUTION TO INTERNATIONAL ORGANISATIONS/EXTERNAL FINANCIALOBLIGATIONS,10000000000.0
87,87.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MARGIN FOR INCREASES IN COSTS AND RECURRENT ADJUSTMENT COSTS,5000000000.0
88,88.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTINGENCY (RECURRENT),15000000000.0
89,89.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EMPLOYEES COMPENSATION ACT - EMPLOYEES' COMPENSATION FUND,4000000000.0
90,90.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT FOR OUTSOURCED SERVICES,1500000000.0
91,91.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PREPARATION SYSTEM (BPS) AS WELL AS MONITORING AND EVALUATION OFALL PROJECTS NATIONWIDE,2000000000.0
92,92.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,TSA OPERATIONS,4000000000.0
93,93.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,IPPIS CAPTURING,2000000000.0
94,94.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SETTLEMENT OF MDA's ELECTRICITY BILLS,40000000000.0
95,95.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,REFUNDS TO SPECIAL ACCOUNTS,40000000000.0
96,96.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SPECIAL INTERVENTION (RECURRENT),350000000000.0
97,97.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,"PRESIDENTIAL AMNESTY PROGRAMME: STIPENDS, OPERATIONS ANDREINTERGRATION",76700000000.0
98,98.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,AUDITOR GENERAL FOR THE FEDERATION,90509818.0
99,99.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF BUDGET AND NATIONAL PLANNING,4092773627.0
100,100.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,103793201010.0
101,101.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF DEFENCE,139294920350.0
102,102.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF EDUCATION,56720969147.0
103,103.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF ENVIRONMENT,12479369455.0
104,104.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF FINANCE,5181348624.0
105,105.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF FOREIGN AFFAIRS,10291783534.0
106,106.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF HEALTH,55609880120.0
107,107.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",81726971059.0
108,108.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF INFORMATION & CULTURE,9546245041.0
109,109.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF INTERIOR,63760562487.0
110,110.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF JUSTICE,12705755001.0
111,111.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,8803520400.0
112,112.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF MINES & STEEL DEVELOPMENT,12455000000.0
113,113.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRATION,30397122872.0
114,114.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF NIGER DELTA,34201500001.0
115,115.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF PETROLEUM RESOURCES,6793128647.0
116,116.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,41699655490.0
117,117.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF TRANSPORTATION,241709000000.0
118,118.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF WATER RESOURCES,104245803117.0
119,119.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL  MINISTRY OF WOMEN AFFAIRS,4250732000.0
120,120.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING",553713857113.0
121,121.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,5441000000.0
122,122.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,148155391.0
123,123.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION(ICPC),767865170.0
124,124.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,INFRASTRUCTURE CONCESSIONARY AND REGULATORY COMMISSION  (ICRC),34310245.0
125,125.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF COMMUNICATIONS TECHNOLOGY,8434669142.0
126,126.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"NATIONAL SALARIES, INCOME AND WAGES COMMISSION",163121916.0
127,127.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,47209203765.0
128,128.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,1974176735.0
129,129.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,STATE HOUSE,20066000000.0
130,130.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SECRETARY TO THE GOVERNMENT OF THE FEDERATION (SGF),32778490342.0
131,131.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT BUREAU,1394854364.0
132,132.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT TRIBUNAL,513616705.0
133,133.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CHARACTER COMMISSION,400000000.0
134,134.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,16171828.0
135,135.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL POPULATION COMMISSION,3936308554.0
136,136.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE SERVICE COMMISSION,758900000.0
137,137.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"REVENUE MOBILIZATION, ALLOCATION AND FISCAL COMMISSION",229093337.0
138,138.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GIFMIS/IPPIS CAPITAL,5000000000.0
139,139.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OSSAP- SDGs (SPECIAL PROJECTS),9000000000.0
140,140.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OSSAP-SDGs (CONDITIONAL GRANTS),10000000000.0
141,141.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OSSAP-SDGs (SOCIAL SAFETY NETS),15902000000.0
142,142.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CAPITAL EXIGENCIES/ADJUSTMENT TO CAPITAL COST,5000000000.0
143,143.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL DEVELOPMENT PLANS (MINISTRY OF BUDGET AND NATIONALPLANNING),1000000000.0
144,144.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,HEAD OF SERVICE (FEDERAL GOVERNMENT STAFF HOUSING LOANS BOARD),1000000000.0
145,145.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,ZONAL INTERVENTION PROJECTS,100000000000.0
146,146.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NORTHEAST INTERVENTION FUND,45000000000.0
147,147.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,COUNTERPART FUNDING INCLUDING GLOBAL FUND/HEALTH,3500000000.0
148,148.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PAYMENT OF LOCAL CONTRACTORS' DEBTS/OTHER LIABILITIES,20000000000.0
149,149.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GALAXY BACKBONE,4000000000.0
150,150.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CONTINGENCY (CAPITAL),10000000000.0
151,151.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,RECAPITALISATION OF DEVELOPMENT FINANCE INSTITUTTIONS,15000000000.0
152,152.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SUBSCRIPTIONS TO SHARES IN INTERNATIONAL ORGANISATIONS,28635229460.0
153,153.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SDG: SPECIAL INTERVENTION PROJECT 1,12000000000.0
154,154.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SDG: SPECIAL INTERVENTION PROJECT 2,8000000000.0
155,155.0,2017.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FACILITIES AND TECHNICAL SERVICES,14500000000.0
156,156.0,2017.0,OTHERS,CAPITAL EXPENDITURE,IMPLEMENTATION OF THE ECONOMIC RECOVERY AND GROWTH PLAN(ERGP)AND ESTABLISHMENT OF DELIVERY UNIT AT THE PRESIDENCY,2500000000.0
0,0.0,2018.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,110000000000.0
1,1.0,2018.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,81882555891.0
2,2.0,2018.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PART PAYMENT TO NDDC OUSTANDING LIABILITIES ON FGN,33981437188.0
3,3.0,2018.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,109063630546.0
4,4.0,2018.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY,139500000000.0
5,5.0,2018.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,7480000000.0
6,6.0,2018.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,INEC,45500000000.0
7,7.0,2018.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,3013745000.0
8,8.0,2018.0,DEBT SERVICE,RECURRENT  EXPENDITURE,DOMESTIC DEBTS,1759755709708.0
9,9.0,2018.0,DEBT SERVICE,RECURRENT  EXPENDITURE,FOREIGN DEBTS,254079655991.0
10,10.0,2018.0,DEBT SERVICE,RECURRENT  EXPENDITURE,SINKING FUND TO RETIRE MATURING LOANSSUB-TOTAL,190000000000.0
11,11.0,2018.0,DEBT SERVICE,RECURRENT  EXPENDITURE,SINKING FUND:,190000000000.0
12,12.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PRESIDENCY,31563353107.0
13,13.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF DEFENCE,418683895586.0
14,14.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF FOREIGN AFFAIRS,63113638465.0
15,15.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF INFORMATION & CULTURE,42659299180.0
16,16.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF INTERIOR,501610102248.0
17,17.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THEFEDERATION,6002670671.0
18,18.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AUDITOR GENERAL FOR THE FEDERATION,4811905706.0
19,19.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF COMMUNICATION TECHNOLOGY,11716581495.0
20,20.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,76024818053.0
21,21.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFRASTRUCTURE CONCESSIONARY REGULATORYCOMMSSION,1007888658.0
22,22.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THEFEDERATION,58849514534.0
23,23.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,53811953706.0
24,24.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF FINANCE,10230150077.0
25,25.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",12613911662.0
26,26.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,7712063655.0
27,27.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,32851975584.0
28,28.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF TRANSPORTATION,15725582503.0
29,29.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING",31709419657.0
30,30.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF PETROLEUM RESOURCES,63534876030.0
31,31.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF MINES AND STEEL DEVELOPMENT,10661575245.0
32,32.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF BUDGET AND NATIONAL PLANNING,9232718681.0
33,33.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",691910089.0
34,34.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,334419087.0
35,35.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WATER RESOURCES,7949781007.0
36,36.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF JUSTICE,21017934099.0
37,37.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCESCOMMISSION,5412991607.0
38,38.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF NIGER DELTA AFFAIRS,2141497126.0
39,39.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,110841248182.0
40,40.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WOMEN AFFAIRS,1657568228.0
41,41.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF EDUCATION,439255776145.0
42,42.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF HEALTH,269965117887.0
43,43.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF ENVIRONMENT,17885452791.0
44,44.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL POPULATION COMMISSION,6069738298.0
45,45.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT BUREAU,2382327877.0
46,46.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT TRIBUNAL,684154135.0
47,47.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CHARACTER COMMISSION,2494175567.0
48,48.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,1046000460.0
49,49.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE SERVICE COMMISSION,6107073709.0
50,50.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"REVENUE MOBILISATION, ALLOCATION AND FISCALCOMMISSION",1888911893.0
51,51.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF CIVIL SERVICE (CIVILIAN PENSION),33290715716.0
52,52.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,GRATUITIES,2300000000.0
53,53.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,28391013524.0
54,54.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,BENEFITS OF RETIRED HEADS OF SERVICE AND PERMANENTSECRETARIES,2599702192.0
55,55.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MILITARY PENSIONS AND GRATUITIES (DMP),72156115576.0
56,56.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,65619472577.0
57,57.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,2017 EXPECTED RETIREES,3170929878.0
58,58.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,DEATH BENEFITS,3115713121.0
59,59.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,ADMINISTRATIVE CHARGES,50000000.0
60,60.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,2017 VERIFICATION EXERCISE,150000000.0
61,61.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSION RUNNING COST,50000000.0
62,62.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE PENSIONS AND GRATUITIES,7412463652.0
63,63.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,7412463652.0
64,64.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"CUSTOMS, IMMIGRATION AND PRISIONS PENSION OFFICE",8420000000.0
65,65.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,8420000000.0
66,66.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,UNIVERSITIES PENSION INCLUDING ARREARS,14343326479.0
67,67.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,14343326479.0
68,68.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PARASTATALS PENSION AND RAILWAY PENSIONS,26756754031.0
69,69.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,26756754031.0
70,70.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PRE-1996 NIGERIA RAILWAY CORPORATION PENSION,2257298262.0
71,71.0,2018.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,2257298262.0
72,72.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DEPARTMENT OF STATE SECURITY,13961732156.0
73,73.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS (INCLUDING ARREARS),13961732156.0
74,74.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NIGERIA INTELLIGENCE AGENCY,3709146567.0
75,75.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS/DEPENDANTS BENEFITS,3709146567.0
76,76.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NELMCO,16642621229.0
77,77.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NELMCO PENSIONS/ARREARS,16642621229.0
78,78.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SERVICE - WIDE VOTES PENSIONS,43000000000.0
79,79.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF PENSION LIABILITIES,3000000000.0
80,80.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF 33% INCREASE IN PENSION RATES,20000000000.0
81,81.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GROUP LIFE INSURANCE FOR ALL MDAs INCLUDINGDSS/INSURANCE OF SENSITIVE ASSETS/CORPERS PLUS,15000000000.0
82,82.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ADMINISTRATION MONITORINGPAYMENT OF OUTSTANDING DEATH BENEFIT TO CIVILSERVANTS/POLICE,5000000000.0
83,83.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PUBLIC SERVICE WAGE ADJUSTMENT FOR MDAS (INCLUDINGARREARS OF PROMOTION AND SALARY INCREASES) &,40138570530.0
84,84.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT OF SEVERANCE BENEFITSSEVERANCE BENEFITS TO RETIRED HEADS OF GOVERNMENT,1000000000.0
85,85.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MILITARY OPERATIONS: LAFIYA DOLE & OTHER OPERATIONS OFTHE ARMED FORCES,78000000000.0
86,86.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SETTLEMENT OF MDAs ELECTRICITY BILLS,10000000000.0
87,87.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,IPPIS CAPTURING,2000000000.0
88,88.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT FOR OUTSOURCED SERVICES,3000000000.0
89,89.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MARGIN FOR INCREASES IN COSTS AND RECURRENTADJUSTMENT COSTS,5000000000.0
90,90.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME: REINTEGRATION OFTRANSFORMED EX-MILITANTS,65000000000.0
91,91.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SERVICE WIDE TRAINING OF BUDGET/PLANNING OFFICERS ONGIFMIS BUDGET PREPARATION SYSTEM (BPS) AS WELL ASMONITORING AND EVALUATION OF ALL PROJECTS,2000000000.0
92,92.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SPECIAL INTERVENTION PROGRAMME (RECURRENT),350000000000.0
93,93.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTINGENCY (RECURRENT),15800000000.0
94,94.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,INTERNATIONAL SPORTING COMPETITIONS,2000000000.0
95,95.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,TSA OPERATIONS,4000000000.0
96,96.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ENTITTLEMENTS OF FORMER PRESIDENTS/HEADS OF STATES ANDVICE PRESIDENTS/CHIEF OF GENERAL STAFF,2300000000.0
97,97.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EMPLOYEE COMPENSATION ACT - EMPLOYEESCOMPENSATION FUND,4000000000.0
98,98.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT INTO REDEMPTION FUND (5% OF TOTAL PERSONNEL,110195808918.0
99,99.0,2018.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTRIBUTIONS TO INTERNATIONAL ORGANISATIONS,21000000000.0
100,100.0,2018.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENCY,27779999975.0
101,101.0,2018.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF DEFENCE,157715439613.0
102,102.0,2018.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF FOREIGN AFFAIRS,20198567703.0
103,103.0,2018.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF INFORMATION & CULTURE,14475947821.0
104,104.0,2018.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF INTERIOR,75098144455.0
105,105.0,2018.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THEFEDERATION,3940176735.0
106,106.0,2018.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,AUDITOR GENERAL FOR THE FEDERATION,290509818.0
107,107.0,2018.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF COMMUNICATION TECHNOLOGY,8049159142.0
